,Topics of Gita,Gita Topic ID,Most Similar topics in Upanishads,Upanishads Topic ID,Similarity Score
0,"krishna,jayadratha,shraddha,ahamkara,arjuna,ikshvaku,sankhya,ashvattha,kusha,vishnu,vaishya,kshatriya,duryodhana,yuyudhana,devotee,bhishma,buddhi,sattva,kamadhuk,devotees,adhyatma,brahma,chitraratha,kshatriyas,vedic,akasha,purusha,yudhamanyu,yudhishthira,dharma,brihaspati,sanjaya,sacred,rajasic,shikhandi,bhima,adhidaiva,pritha,shaibya,kashi,gandharvas,duryodhanas,devote,draupadi,mantram,brahman,samadhi,adhibhuta,dhrishtadyumna,gods",0,"sage,wisdom,devotee,sages,vishnu,mahabharata,devotees,samashrava,hindu,mahavakyas,theravada,hindus,buddhi,satyavaha,hinduism,brahmanas,divine,mahavakya,wise,vajasravasa,brahma,divinized,deity,krishna,allah,kabir,vayu,ahimsa,satyavacha,enlightened,shraddha,gods,philosopher,venerated,disciple,vachaknu,buddhism,scholars,teachings,worshipped,mahatma,unwise,ambhas,intellectu,shiva,agni,brahman,beings,unknowing,obedience",0,0.76331604
1,"selfless,selflessly,selfish,selfishly,desires,unkindness,desire,suffering,greed,themselves,compassion,ego,self,devotees,fulfill,insatiable,happiness,desirer,nonbeing,oneself,compassionate,beings,worships,sinful,fulfills,devotion,misery,miserable,eternal,fulfilling,nonexistence,eternity,asceticism,loving,worship,egotistical,spiritual,spiritually,himself,myself,sin,devotee,heedlessness,lust,passions,sorrow,immortality,beloved,unpleasant,infatuated",1,"desires,happiness,eternal,selfless,beings,spiritual,existence,spirituality,desire,joy,eternity,buddhism,soul,enlightenment,beyondness,fulfill,selflessly,spiritually,hinduism,bliss,selfs,devotees,deity,self,greed,joys,gods,immortality,hindus,oneself,liberation,mahabharata,blissful,nonbeing,mindedness,solitude,attains,heaven,infinitude,worship,religions,freedom,hindu,buddhi,interiorize,brahma,beloved,godless,allah,selves",10,0.75715107
2,"worships,worship,devotion,devotees,eternal,myself,beings,eternity,spiritually,spiritual,divine,devotee,gods,immortality,selfless,heaven,asceticism,selflessly,themselves,everlasting,devote,heavenly,celestial,fulfill,fulfilling,evenness,self,soul,glories,heavens,wisdom,souls,fulfills,me,beloved,admiration,humility,demigods,loyalty,everyone,totality,compassion,faith,righteous,selfishly,blessing,ego,sacred,ahamkara,reverence",2,"eternal,divine,deity,eternity,lords,lord,everlasting,devotional,omnipotent,gods,beings,soul,beloved,spiritual,divinized,devotee,devotion,immortality,spiritually,worship,god,worshipper,glory,devotees,spirituality,worshipping,enlightenment,heavenly,allah,heaven,worshipped,godless,wisdom,glorify,immortal,ego,glorious,heavens,spirit,obedience,celestial,admiration,omnipresent,forever,thyself,hymn,sacred,obedient,enlightened,goddess",2,0.74826664
3,"meditation,meditate,spiritually,spiritual,yoga,minds,asceticism,spirit,nirvana,wisdom,oneself,selflessly,inner,mind,selfless,consciousness,buddhi,dharma,contemplative,self,krishna,selfishly,calmness,devotee,devotion,cheerfulness,duryodhana,soul,spirits,serene,devote,eternal,devotees,yuyudhana,solitude,sankhya,teachings,attaining,eternity,selfish,conscious,jayadratha,shraddha,mantram,thoughtless,attain,liberation,worship,nonbeing,selfrealization",3,"meditation,meditating,meditates,meditate,meditated,minds,mind,spiritually,interiorize,enlightenment,spiritual,wisdom,senses,consciously,spirituality,consciousness,desires,enlightened,mindedness,spirit,desire,mental,buddhism,sensory,interiorizing,inner,mentally,conscious,devotional,eternal,sensations,thinker,feelings,soul,oneself,thyself,sensation,thinking,devotion,nonintellectual,intellect,sense,intellectu,feel,intellectual,mysticism,eternity,thoughts,contemplating,deeply",4,0.8960675
4,"immortality,death,mortality,immortal,deathless,eternity,eternal,dying,mortal,dead,mortals,dies,nonexistence,life,soul,born,lifetimes,existence,everlasting,lifes,souls,unborn,beings,lives,living,heaven,rebirth,lifegiving,invincible,suffering,reborn,birth,lived,heavens,forever,live,spiritual,killing,die,selfless,misery,spiritually,heavenly,sorrow,grieves,inevitable,grieve,killed,spirits,demonic",4,"immortality,death,immortal,mortality,deathless,mortal,dying,mortals,eternity,deathlessness,eternal,dead,deaths,dies,died,heaven,alive,soul,reincarnation,everlasting,mourn,heavens,beyondness,life,heavenly,existence,lifes,beings,sacrifice,sacrificer,forever,lives,killed,living,survive,die,celestial,suffering,born,surviving,deity,live,sorrow,kill,darkness,rebirth,lived,survives,tribute,survived",5,0.86438304
5,"gods,eternal,universe,beings,eternity,heavens,celestial,immortality,heavenly,divine,god,heaven,immortal,everlasting,soul,existence,earth,spiritual,souls,ahamkara,spiritually,demigods,spirits,darkness,cosmic,worships,totality,glories,spirit,cosmos,illumined,worship,nonexistence,worlds,glory,world,infinite,every,awakened,mankind,demons,demonic,vishnu,mortal,glorious,brahma,forever,lord,all,everything",5,"celestial,sun,heavens,earth,earthly,heaven,heavenly,luminous,sunrise,sky,universe,illumined,light,illumine,sole,bright,suns,earthy,darkness,eternal,daylight,dawn,illumination,beyondness,beings,illuminating,solar,enlightenment,lightning,starlight,lights,moon,stars,brightness,glowing,deity,planets,enlightened,eternity,cosmic,allah,planetary,clouds,cloud,radiant,radiance,world,existence,worlds,shine",7,0.80309844
6,"brahman,wisdom,devotees,brahma,devotee,teachings,sages,worships,divine,devote,ahamkara,dharma,ashvattha,devotion,sage,worship,buddhi,blessing,wise,spiritually,mantram,vaishya,beings,sacred,blessed,gods,spiritual,reverence,shraddha,eternal,ikshvaku,jayadratha,asceticism,intellects,knowledge,yudhamanyu,vishnu,understanding,fulfill,intellectual,instruct,meditation,instructions,meditate,krishna,commanded,attains,guided,attain,praise",6,"sage,wisdom,devotee,sages,vishnu,mahabharata,devotees,samashrava,hindu,mahavakyas,theravada,hindus,buddhi,satyavaha,hinduism,brahmanas,divine,mahavakya,wise,vajasravasa,brahma,divinized,deity,krishna,allah,kabir,vayu,ahimsa,satyavacha,enlightened,shraddha,gods,philosopher,venerated,disciple,vachaknu,buddhism,scholars,teachings,worshipped,mahatma,unwise,ambhas,intellectu,shiva,agni,brahman,beings,unknowing,obedience",0,0.74140835
7,"existence,universe,beings,eternal,nonexistence,immortality,creatures,eternity,creature,cosmos,immortal,everlasting,exist,everything,totality,creation,gods,born,ahamkara,myself,cosmic,soul,nothing,selfless,exists,unborn,spiritual,reality,spiritually,selflessly,souls,earth,demigods,world,existed,worlds,life,divine,unity,inanimate,creator,celestial,unkindness,forever,spirit,heavens,all,every,infinite,spirits",7,"universe,omnipotent,eternal,cosmos,eternity,beings,cosmic,immortal,gods,celestial,deity,beyondness,god,heavens,immortality,earthly,existence,forever,everything,heavenly,heaven,everlasting,omniscient,divine,omnipresent,whosoever,devotee,himself,fullness,soul,godless,infinitude,transcendence,transcendent,spiritual,spiritually,allah,whoever,infinity,innermost,earth,infinite,him,worlds,worshipper,transcends,universality,lord,divinized,worship",6,0.7335342
8,"ignorance,ignorant,wisdom,delusions,darkness,delusion,evils,intellects,eternal,asceticism,knowledge,evil,fearless,intellectual,sorrow,fearful,sinful,unwise,intellect,obscured,suffering,immortality,nonexistence,illumined,beings,wise,aware,fears,arrogance,ahamkara,sins,eternity,unkindness,invincible,immortal,unknown,deluded,sin,arrogant,fear,knowers,enemies,knower,profound,wrongdoing,belief,cruelty,devotees,greed,deceive",8,"meditation,meditating,meditates,meditate,meditated,minds,mind,spiritually,interiorize,enlightenment,spiritual,wisdom,senses,consciously,spirituality,consciousness,desires,enlightened,mindedness,spirit,desire,mental,buddhism,sensory,interiorizing,inner,mentally,conscious,devotional,eternal,sensations,thinker,feelings,soul,oneself,thyself,sensation,thinking,devotion,nonintellectual,intellect,sense,intellectu,feel,intellectual,mysticism,eternity,thoughts,contemplating,deeply",4,0.6736479
9,"enemy,enemies,conquer,defeat,fight,fighting,conquered,battle,fought,nonviolence,dishonor,fearful,evil,surrender,fearless,fear,invincible,ahamkara,evils,forgiving,destroy,victory,victorious,fears,glories,destruction,brave,sacrifice,warrior,surrendering,destroying,honor,sacrificing,suffering,heroic,sorrow,devotion,sinful,anger,glory,win,overcomes,overcome,humility,destroyer,harm,forgiveness,afraid,lose,agni",9,"immortality,death,immortal,mortality,deathless,mortal,dying,mortals,eternity,deathlessness,eternal,dead,deaths,dies,died,heaven,alive,soul,reincarnation,everlasting,mourn,heavens,beyondness,life,heavenly,existence,lifes,beings,sacrifice,sacrificer,forever,lives,killed,living,survive,die,celestial,suffering,born,surviving,deity,live,sorrow,kill,darkness,rebirth,lived,survives,tribute,survived",5,0.60325974
