,Topics of Gita,Gita Topic ID,Most Similar topics in Upanishads,Upanishads Topic ID,Similarity Score
0,"krishna,jayadratha,shraddha,ahamkara,arjuna,ikshvaku,sankhya,ashvattha,kusha,vishnu,vaishya,kshatriya,duryodhana,yuyudhana,devotee,bhishma,buddhi,sattva,kamadhuk,devotees,adhyatma,brahma,chitraratha,kshatriyas,vedic,akasha,purusha,yudhamanyu,yudhishthira,dharma,brihaspati,sanjaya,sacred,rajasic,shikhandi,bhima,adhidaiva,pritha,shaibya,kashi,gandharvas,duryodhanas,devote,draupadi,mantram,brahman,samadhi,adhibhuta,dhrishtadyumna,gods",0,"himself,self,oneself,selfevident,selfdepending,selfdependent,itself,own,selfexistent,themselves,selfwilled,yourselves,herself,selfcreator,yourself,selfborn,selfcontrol,selfcontrolled,selfcreated,myself,ourselves,selfinterest,omniscient,his,alone,owns,soul,impersonal,body,individual,belongs,him,solitary,spiritual,belong,buddhi,spirit,whosoever,whoever,inlife,whose,whoknows,loneliness,anybody,mankind,anyone,divine,lonely,its,solitude",0,0.7189797
1,"selfless,selflessly,selfish,selfishly,desires,unkindness,desire,suffering,greed,themselves,compassion,ego,self,devotees,fulfill,insatiable,happiness,desirer,nonbeing,oneself,compassionate,beings,worships,sinful,fulfills,devotion,misery,miserable,eternal,fulfilling,nonexistence,eternity,asceticism,loving,worship,egotistical,spiritual,spiritually,himself,myself,sin,devotee,heedlessness,lust,passions,sorrow,immortality,beloved,unpleasant,infatuated",1,"himself,self,oneself,selfevident,selfdepending,selfdependent,itself,own,selfexistent,themselves,selfwilled,yourselves,herself,selfcreator,yourself,selfborn,selfcontrol,selfcontrolled,selfcreated,myself,ourselves,selfinterest,omniscient,his,alone,owns,soul,impersonal,body,individual,belongs,him,solitary,spiritual,belong,buddhi,spirit,whosoever,whoever,inlife,whose,whoknows,loneliness,anybody,mankind,anyone,divine,lonely,its,solitude",0,0.63175917
2,"worships,worship,devotion,devotees,eternal,myself,beings,eternity,spiritually,spiritual,divine,devotee,gods,immortality,selfless,heaven,asceticism,selflessly,themselves,everlasting,devote,heavenly,celestial,fulfill,fulfilling,evenness,self,soul,glories,heavens,wisdom,souls,fulfills,me,beloved,admiration,humility,demigods,loyalty,everyone,totality,compassion,faith,righteous,selfishly,blessing,ego,sacred,ahamkara,reverence",2,"says,told,said,say,mentioned,saying,tell,gandhara,spoke,answered,preached,replied,behar,wajashrawas,declared,knows,affirms,atharwaweda,anwarhapachan,satyawaha,asked,heard,knew,atharwa,hiranyanabha,atharwana,samashrawa,bharadwaja,speaks,satyakama,ashwalayana,asks,satyawacha,understood,ahangkara,speak,wamadewa,waidarbhee,answer,bhargawa,ashwala,whoknows,wirdchana,verses,spoken,according,which,given,kusheetaka,fromkarma",1,0.5810122
3,"meditation,meditate,spiritually,spiritual,yoga,minds,asceticism,spirit,nirvana,wisdom,oneself,selflessly,inner,mind,selfless,consciousness,buddhi,dharma,contemplative,self,krishna,selfishly,calmness,devotee,devotion,cheerfulness,duryodhana,soul,spirits,serene,devote,eternal,devotees,yuyudhana,solitude,sankhya,teachings,attaining,eternity,selfish,conscious,jayadratha,shraddha,mantram,thoughtless,attain,liberation,worship,nonbeing,selfrealization",3,"immortal,immortality,immortals,deathless,inlife,eternal,soul,mortality,unliving,everlasting,death,longlived,forever,alive,souls,heart,mortal,lived,enliven,dying,hearts,spirit,lives,dead,eternalthrough,existence,life,heartrending,vitality,spiritual,living,bodykill,live,breathless,omniscient,mindmaterial,spirits,incarnation,heavenborn,remains,perpetual,bodies,body,dies,artery,enlivening,mindless,endless,selfborn,organs",5,0.6156423
4,"immortality,death,mortality,immortal,deathless,eternity,eternal,dying,mortal,dead,mortals,dies,nonexistence,life,soul,born,lifetimes,existence,everlasting,lifes,souls,unborn,beings,lives,living,heaven,rebirth,lifegiving,invincible,suffering,reborn,birth,lived,heavens,forever,live,spiritual,killing,die,selfless,misery,spiritually,heavenly,sorrow,grieves,inevitable,grieve,killed,spirits,demonic",4,"immortal,immortality,immortals,deathless,inlife,eternal,soul,mortality,unliving,everlasting,death,longlived,forever,alive,souls,heart,mortal,lived,enliven,dying,hearts,spirit,lives,dead,eternalthrough,existence,life,heartrending,vitality,spiritual,living,bodykill,live,breathless,omniscient,mindmaterial,spirits,incarnation,heavenborn,remains,perpetual,bodies,body,dies,artery,enlivening,mindless,endless,selfborn,organs",5,0.6164513
5,"gods,eternal,universe,beings,eternity,heavens,celestial,immortality,heavenly,divine,god,heaven,immortal,everlasting,soul,existence,earth,spiritual,souls,ahamkara,spiritually,demigods,spirits,darkness,cosmic,worships,totality,glories,spirit,cosmos,illumined,worship,nonexistence,worlds,glory,world,infinite,every,awakened,mankind,demons,demonic,vishnu,mortal,glorious,brahma,forever,lord,all,everything",5,"sunrise,sun,fire,burning,flame,lightning,fires,flames,solar,dawns,ablaze,burn,burnt,burned,burns,suns,moon,celestial,eclipse,light,spark,heaven,heavenborn,illuminating,illuminated,illuminate,moons,blaze,firestick,thunder,sparks,heavens,lighting,blazing,sky,heavenly,lights,shade,enlighten,paradise,moonin,luminous,moonbreaks,cloud,garhapatyafire,divine,shine,lunar,darkness,shining",3,0.76114213
6,"brahman,wisdom,devotees,brahma,devotee,teachings,sages,worships,divine,devote,ahamkara,dharma,ashvattha,devotion,sage,worship,buddhi,blessing,wise,spiritually,mantram,vaishya,beings,sacred,blessed,gods,spiritual,reverence,shraddha,eternal,ikshvaku,jayadratha,asceticism,intellects,knowledge,yudhamanyu,vishnu,understanding,fulfill,intellectual,instruct,meditation,instructions,meditate,krishna,commanded,attains,guided,attain,praise",6,"heaven,paradise,heavenborn,heavens,heavenly,celestial,divine,omniscient,eternal,immortal,immortals,immortality,gods,sky,kingdom,earth,everlasting,godless,soul,inlife,souls,god,whoknows,forever,earthly,deathless,world,angels,worlds,sinner,dying,worships,worldly,all,everybodys,earthy,saints,knowthe,everybody,whosoever,death,devotees,spiritual,goddess,sacred,existence,everywhere,worship,whoever,holy",9,0.44602618
7,"existence,universe,beings,eternal,nonexistence,immortality,creatures,eternity,creature,cosmos,immortal,everlasting,exist,everything,totality,creation,gods,born,ahamkara,myself,cosmic,soul,nothing,selfless,exists,unborn,spiritual,reality,spiritually,selflessly,souls,earth,demigods,world,existed,worlds,life,divine,unity,inanimate,creator,celestial,unkindness,forever,spirit,heavens,all,every,infinite,spirits",7,"himself,self,oneself,selfevident,selfdepending,selfdependent,itself,own,selfexistent,themselves,selfwilled,yourselves,herself,selfcreator,yourself,selfborn,selfcontrol,selfcontrolled,selfcreated,myself,ourselves,selfinterest,omniscient,his,alone,owns,soul,impersonal,body,individual,belongs,him,solitary,spiritual,belong,buddhi,spirit,whosoever,whoever,inlife,whose,whoknows,loneliness,anybody,mankind,anyone,divine,lonely,its,solitude",0,0.50923705
8,"ignorance,ignorant,wisdom,delusions,darkness,delusion,evils,intellects,eternal,asceticism,knowledge,evil,fearless,intellectual,sorrow,fearful,sinful,unwise,intellect,obscured,suffering,immortality,nonexistence,illumined,beings,wise,aware,fears,arrogance,ahamkara,sins,eternity,unkindness,invincible,immortal,unknown,deluded,sin,arrogant,fear,knowers,enemies,knower,profound,wrongdoing,belief,cruelty,devotees,greed,deceive",8,"sunrise,sun,fire,burning,flame,lightning,fires,flames,solar,dawns,ablaze,burn,burnt,burned,burns,suns,moon,celestial,eclipse,light,spark,heaven,heavenborn,illuminating,illuminated,illuminate,moons,blaze,firestick,thunder,sparks,heavens,lighting,blazing,sky,heavenly,lights,shade,enlighten,paradise,moonin,luminous,moonbreaks,cloud,garhapatyafire,divine,shine,lunar,darkness,shining",3,0.5951734
9,"enemy,enemies,conquer,defeat,fight,fighting,conquered,battle,fought,nonviolence,dishonor,fearful,evil,surrender,fearless,fear,invincible,ahamkara,evils,forgiving,destroy,victory,victorious,fears,glories,destruction,brave,sacrifice,warrior,surrendering,destroying,honor,sacrificing,suffering,heroic,sorrow,devotion,sinful,anger,glory,win,overcomes,overcome,humility,destroyer,harm,forgiveness,afraid,lose,agni",9,"ignorance,knowledge,ignorant,omniscient,whoknows,unknowable,unknown,knowthe,knowings,knowing,wisdom,mindless,spirit,knowable,spiritual,soul,mindmaterial,minds,understands,aware,knows,understanding,intellectual,known,knew,unthinking,knower,uncertainbody,spirits,understand,intellect,intelligence,souls,senses,sense,comprehending,sages,wise,know,soundless,invisible,understood,perception,nothingelse,learned,inlife,existence,breathless,deathless,immortal",2,0.55070627
